tanggal,kode_sku,nama_produk,kategori,subkategori,wilayah,channel,actual_unit,target_unit,actual_revenue,target_revenue,cogs,profit,stok_awal,stok_akhir,achievement_pct,gap_unit,profit_margin_pct,days_of_stock
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jabodetabek,Traditional Trade,291,312,6402000,6864000,4348564,2053436,554,461,93.3,-21,32.1,48
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jabodetabek,Mini Market,625,601,13750000,13222000,7940944,5809056,773,375,104.0,24,42.2,18
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jabodetabek,Online,244,282,5368000,6204000,3395522,1972478,351,483,86.5,-38,36.7,59
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Barat,Modern Trade,408,375,8976000,8250000,6079484,2896516,470,370,108.8,33,32.3,27
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Barat,Traditional Trade,683,774,15026000,17028000,10298316,4727684,468,79,88.2,-91,31.5,3
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Barat,Mini Market,331,267,7282000,5874000,4861540,2420460,765,680,124.0,64,33.2,62
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Barat,Online,535,534,11770000,11748000,7856525,3913475,977,791,100.2,1,33.2,44
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Tengah,Modern Trade,423,497,9306000,10934000,5199937,4106063,855,563,85.1,-74,44.1,40
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Tengah,Traditional Trade,365,500,8030000,11000000,5022183,3007817,843,658,73.0,-135,37.5,54
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Tengah,Mini Market,380,299,8360000,6578000,4831025,3528975,909,663,127.1,81,42.2,52
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Tengah,Online,293,350,6446000,7700000,4096119,2349881,892,719,83.7,-57,36.5,74
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Timur,Modern Trade,418,464,9196000,10208000,5778926,3417074,567,353,90.1,-46,37.2,25
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Timur,Traditional Trade,448,530,9856000,11660000,6413827,3442173,607,493,84.5,-82,34.9,33
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Timur,Mini Market,838,785,18436000,17270000,10165561,8270439,936,486,106.8,53,44.9,17
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jawa Timur,Online,182,230,4004000,5060000,2361479,1642521,657,610,79.1,-48,41.0,101
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Utara,Modern Trade,471,494,10362000,10868000,6994990,3367010,609,508,95.3,-23,32.5,32
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Utara,Traditional Trade,162,158,3564000,3476000,2458317,1105683,406,412,102.5,4,31.0,76
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Utara,Mini Market,364,438,8008000,9636000,5068932,2939068,578,458,83.1,-74,36.7,38
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Utara,Online,257,230,5654000,5060000,3647597,2006403,570,671,111.7,27,35.5,78
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Selatan,Modern Trade,600,776,13200000,17072000,7360582,5839418,949,665,77.3,-176,44.2,33
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Selatan,Traditional Trade,234,309,5148000,6798000,2932419,2215581,568,516,75.7,-75,43.0,66
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Selatan,Mini Market,561,567,12342000,12474000,6806002,5535998,377,0,98.9,-6,44.9,0
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sumatera Selatan,Online,285,380,6270000,8360000,3968150,2301850,740,620,75.0,-95,36.7,65
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Kalimantan,Modern Trade,183,229,4026000,5038000,2695078,1330922,340,440,79.9,-46,33.1,72
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Kalimantan,Traditional Trade,244,242,5368000,5324000,3237182,2130818,873,937,100.8,2,39.7,115
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Kalimantan,Mini Market,312,257,6864000,5654000,3942512,2921488,481,480,121.4,55,42.6,46
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Kalimantan,Online,79,107,1738000,2354000,1159868,578132,721,869,73.8,-28,33.3,330
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sulawesi,Modern Trade,329,433,7238000,9526000,4396226,2841774,339,350,76.0,-104,39.3,32
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sulawesi,Traditional Trade,195,261,4290000,5742000,2584505,1705495,533,552,74.7,-66,39.8,85
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sulawesi,Mini Market,174,166,3828000,3652000,2265374,1562626,371,439,104.8,8,40.8,76
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Sulawesi,Online,251,241,5522000,5302000,3849786,1672214,849,867,104.1,10,30.3,104
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jabodetabek,Modern Trade,335,474,4020000,5688000,2318676,1701324,571,355,70.7,-139,42.3,32
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jabodetabek,Traditional Trade,381,370,4572000,4440000,3053932,1518068,746,726,103.0,11,33.2,57
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jabodetabek,Mini Market,467,528,5604000,6336000,3296320,2307680,746,379,88.4,-61,41.2,24
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jabodetabek,Online,807,704,9684000,8448000,6371244,3312756,986,379,114.6,103,34.2,14
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Barat,Modern Trade,850,1004,10200000,12048000,7018779,3181221,938,348,84.7,-154,31.2,12
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Barat,Traditional Trade,359,326,4308000,3912000,2569260,1738740,718,626,110.1,33,40.4,52
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Barat,Mini Market,887,857,10644000,10284000,6160492,4483508,980,387,103.5,30,42.1,13
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Barat,Online,307,294,3684000,3528000,2328990,1355010,300,248,104.4,13,36.8,24
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Tengah,Modern Trade,590,764,7080000,9168000,4538275,2541725,629,377,77.2,-174,35.9,19
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Tengah,Traditional Trade,569,582,6828000,6984000,4240037,2587963,473,47,97.8,-13,37.9,2
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Tengah,Mini Market,592,633,7104000,7596000,4264377,2839623,540,206,93.5,-41,40.0,10
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Tengah,Online,347,294,4164000,3528000,2319065,1844935,786,576,118.0,53,44.3,50
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Timur,Modern Trade,981,1103,11772000,13236000,6817934,4954066,693,65,88.9,-122,42.1,2
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Timur,Traditional Trade,525,651,6300000,7812000,3470240,2829760,409,201,80.6,-126,44.9,11
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Timur,Mini Market,468,638,5616000,7656000,3525128,2090872,351,268,73.4,-170,37.2,17
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Jawa Timur,Online,423,341,5076000,4092000,2893324,2182676,775,723,124.0,82,43.0,51
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Utara,Modern Trade,905,985,10860000,11820000,7425133,3434867,927,380,91.9,-80,31.6,13
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Utara,Traditional Trade,533,485,6396000,5820000,4378581,2017419,786,583,109.9,48,31.5,33
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Utara,Mini Market,502,499,6024000,5988000,3563779,2460221,833,679,100.6,3,40.8,41
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Utara,Online,220,240,2640000,2880000,1565148,1074852,578,629,91.7,-20,40.7,86
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Selatan,Modern Trade,617,498,7404000,5976000,4239713,3164287,692,253,123.9,119,42.7,12
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Selatan,Traditional Trade,206,272,2472000,3264000,1560800,911200,725,650,75.7,-66,36.9,95
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Selatan,Mini Market,402,354,4824000,4248000,3210224,1613776,320,312,113.6,48,33.5,23
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sumatera Selatan,Online,285,328,3420000,3936000,2034188,1385812,699,728,86.9,-43,40.5,77
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Kalimantan,Modern Trade,708,668,8496000,8016000,5441585,3054415,525,166,106.0,40,36.0,7
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Kalimantan,Traditional Trade,202,239,2424000,2868000,1474588,949412,984,1089,84.5,-37,39.2,162
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Kalimantan,Mini Market,310,301,3720000,3612000,2593243,1126757,846,649,103.0,9,30.3,63
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Kalimantan,Online,264,274,3168000,3288000,1782292,1385708,738,643,96.4,-10,43.7,73
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sulawesi,Modern Trade,474,565,5688000,6780000,3407697,2280303,765,558,83.9,-91,40.1,35
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sulawesi,Traditional Trade,332,301,3984000,3612000,2640601,1343399,731,628,110.3,31,33.7,57
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sulawesi,Mini Market,200,224,2400000,2688000,1338751,1061249,658,672,89.3,-24,44.2,101
2024-01-01,SKU003,Pasta Gigi Whitening 120g,Personal Care,Oral Care,Sulawesi,Online,129,122,1548000,1464000,1026533,521467,553,626,105.7,7,33.7,146
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jabodetabek,Modern Trade,424,399,1484000,1396500,921615,562385,417,381,106.3,25,37.9,27
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jabodetabek,Traditional Trade,486,495,1701000,1732500,1029674,671326,920,592,98.2,-9,39.5,37
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jabodetabek,Mini Market,705,556,2467500,1946000,1366629,1100871,619,308,126.8,149,44.6,13
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jabodetabek,Online,503,580,1760500,2030000,988344,772156,942,663,86.7,-77,43.9,40
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Barat,Modern Trade,514,472,1799000,1652000,1174097,624903,423,298,108.9,42,34.7,17
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Barat,Traditional Trade,221,248,773500,868000,468420,305080,818,871,89.1,-27,39.4,118
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Barat,Mini Market,328,311,1148000,1088500,649574,498426,670,677,105.5,17,43.4,62
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Barat,Online,265,300,927500,1050000,644447,283053,576,686,88.3,-35,30.5,78
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Tengah,Modern Trade,955,1085,3342500,3797500,2135427,1207073,630,0,88.0,-130,36.1,0
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Tengah,Traditional Trade,230,269,805000,941500,533370,271630,883,947,85.5,-39,33.7,124
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Tengah,Mini Market,498,731,1743000,2558500,1006192,736808,517,300,68.1,-233,42.3,18
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Tengah,Online,298,365,1043000,1277500,683350,359650,582,668,81.6,-67,34.5,67
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Timur,Modern Trade,326,319,1141000,1116500,668858,472142,716,740,102.2,7,41.4,68
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Timur,Traditional Trade,858,827,3003000,2894500,1942597,1060403,802,273,103.7,31,35.3,10
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Timur,Mini Market,228,284,798000,994000,521707,276293,613,782,80.3,-56,34.6,103
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Jawa Timur,Online,438,469,1533000,1641500,940995,592005,863,694,93.4,-31,38.6,48
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Utara,Modern Trade,690,629,2415000,2201500,1419321,995679,423,0,109.7,61,41.2,0
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Utara,Traditional Trade,304,398,1064000,1393000,706845,357155,489,383,76.4,-94,33.6,38
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Utara,Mini Market,452,406,1582000,1421000,1010009,571991,837,629,111.3,46,36.2,42
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Utara,Online,197,170,689500,595000,416549,272951,609,519,115.9,27,39.6,79
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Selatan,Modern Trade,594,701,2079000,2453500,1160454,918546,599,169,84.7,-107,44.2,9
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Selatan,Traditional Trade,354,421,1239000,1473500,734294,504706,790,761,84.1,-67,40.7,64
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Selatan,Mini Market,387,442,1354500,1547000,936176,418324,789,560,87.6,-55,30.9,43
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sumatera Selatan,Online,123,125,430500,437500,277421,153079,354,408,98.4,-2,35.6,100
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Kalimantan,Modern Trade,341,337,1193500,1179500,671675,521825,554,373,101.2,4,43.7,33
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Kalimantan,Traditional Trade,471,446,1648500,1561000,1102205,546295,531,427,105.6,25,33.1,27
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Kalimantan,Mini Market,413,440,1445500,1540000,981531,463969,739,582,93.9,-27,32.1,42
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Kalimantan,Online,348,352,1218000,1232000,805114,412886,512,372,98.9,-4,33.9,32
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sulawesi,Modern Trade,426,387,1491000,1354500,858923,632077,376,130,110.1,39,42.4,9
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sulawesi,Traditional Trade,104,118,364000,413000,225857,138143,333,447,88.1,-14,38.0,129
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sulawesi,Mini Market,393,388,1375500,1358000,850203,525297,539,381,101.3,5,38.2,29
2024-01-01,SKU004,Mie Instan Goreng,Food & Beverage,Dry Food,Sulawesi,Online,162,178,567000,623000,366931,200069,572,582,91.0,-16,35.3,108
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jabodetabek,Modern Trade,387,550,1354500,1925000,865873,488627,882,742,70.4,-163,36.1,58
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jabodetabek,Traditional Trade,616,825,2156000,2887500,1412094,743906,578,318,74.7,-209,34.5,15
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jabodetabek,Mini Market,1169,1133,4091500,3965500,2274789,1816711,742,0,103.2,36,44.4,0
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jabodetabek,Online,316,413,1106000,1445500,720166,385834,889,973,76.5,-97,34.9,92
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Barat,Modern Trade,425,369,1487500,1291500,878260,609240,341,105,115.2,56,41.0,7
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Barat,Traditional Trade,680,700,2380000,2450000,1408302,971698,899,542,97.1,-20,40.8,24
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Barat,Mini Market,1145,968,4007500,3388000,2449593,1557907,628,0,118.3,177,38.9,0
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Barat,Online,256,305,896000,1067500,531536,364464,710,835,83.9,-49,40.7,98
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Tengah,Modern Trade,324,336,1134000,1176000,678689,455311,713,752,96.4,-12,40.2,70
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Tengah,Traditional Trade,195,191,682500,668500,417681,264819,492,662,102.1,4,38.8,102
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Tengah,Mini Market,725,717,2537500,2509500,1563877,973623,352,0,101.1,8,38.4,0
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Tengah,Online,339,375,1186500,1312500,730549,455951,796,619,90.4,-36,38.4,55
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Timur,Modern Trade,436,377,1526000,1319500,894075,631925,462,285,115.6,59,41.4,20
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Timur,Traditional Trade,572,780,2002000,2730000,1168578,833422,416,180,73.3,-208,41.6,9
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Timur,Mini Market,453,414,1585500,1449000,1093833,491667,598,505,109.4,39,31.0,33
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Jawa Timur,Online,353,385,1235500,1347500,767039,468461,767,796,91.7,-32,37.9,68
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Utara,Modern Trade,367,442,1284500,1547000,804400,480100,439,207,83.0,-75,37.4,17
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Utara,Traditional Trade,394,388,1379000,1358000,828753,550247,819,661,101.5,6,39.9,50
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Utara,Mini Market,172,195,602000,682500,384100,217900,975,1153,88.2,-23,36.2,201
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Utara,Online,191,206,668500,721000,401010,267490,856,958,92.7,-15,40.0,150
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Selatan,Modern Trade,793,733,2775500,2565500,1934846,840654,544,143,108.2,60,30.3,5
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Selatan,Traditional Trade,323,412,1130500,1442000,629176,501324,784,756,78.4,-89,44.3,70
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Selatan,Mini Market,621,554,2173500,1939000,1407999,765501,455,187,112.1,67,35.2,9
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Sumatera Selatan,Online,94,132,329000,462000,197334,131666,402,633,71.2,-38,40.0,202
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Kalimantan,Modern Trade,256,264,896000,924000,589896,306104,719,642,97.0,-8,34.2,75
2024-01-01,SKU005,Mie Instan Kuah,Food & Beverage,Dry Food,Kalimantan,Traditional Trade,146,170,511000,595000,307001,203999,707,702,85.9,-24,39.9,144
